iter	Passed	Remaining
406	5661	8249
407	5674	8233
408	5687	8218
409	5702	8206
410	5717	8193
411	5730	8177
412	5741	8161
413	5756	8148
414	5770	8133
415	5784	8120
416	5800	8109
417	5813	8094
418	5826	8078
419	5839	8064
420	5852	8048
421	5867	8037
422	5881	8023
423	5896	8010
424	5910	7996
425	5926	7985
426	5941	7973
427	5956	7959
428	5969	7944
429	5982	7930
430	5998	7918
431	6013	7906
432	6027	7892
433	6042	7880
434	6057	7867
435	6071	7854
436	6087	7842
437	6100	7827
438	6113	7812
439	6128	7800
440	6142	7785
441	6155	7770
442	6167	7755
443	6180	7740
444	6194	7726
445	6206	7709
446	6219	7694
447	6233	7680
448	6247	7667
449	6260	7652
450	6275	7638
451	6289	7625
452	6302	7610
453	6314	7594
454	6328	7580
455	6343	7567
456	6357	7553
457	6370	7539
458	6384	7525
459	6397	7510
460	6412	7496
461	6426	7484
462	6441	7470
463	6453	7454
464	6465	7438
465	6478	7423
466	6493	7411
467	6505	7394
468	6519	7380
469	6533	7367
470	6545	7351
471	6558	7336
472	6573	7324
473	6589	7312
474	6603	7298
475	6616	7284
476	6631	7271
477	6645	7256
478	6659	7243
479	6673	7230
480	6688	7216
481	6703	7204
482	6717	7189
483	6730	7175
484	6744	7161
485	6757	7146
486	6772	7133
487	6785	7119
488	6799	7105
489	6813	7091
490	6826	7076
491	6840	7063
492	6856	7050
493	6871	7038
494	6885	7024
495	6898	7010
496	6914	6997
497	6928	6983
498	6941	6969
499	6954	6954
500	6968	6940
501	6980	6925
502	6993	6909
503	7006	6894
504	7019	6880
505	7034	6867
506	7048	6853
507	7061	6838
508	7073	6823
509	7088	6810
510	7104	6798
511	7118	6785
512	7133	6772
513	7149	6759
514	7162	6745
515	7176	6731
516	7190	6717
517	7205	6704
518	7219	6690
519	7234	6678
520	7248	6664
521	7262	6649
522	7275	6635
523	7288	6621
524	7303	6607
525	7318	6594
526	7333	6581
527	7346	6567
528	7359	6552
529	7372	6538
530	7385	6523
531	7400	6509
532	7414	6496
533	7428	6482
534	7442	6469
535	7457	6455
536	7469	6440
537	7484	6426
538	7498	6413
539	7512	6399
540	7527	6386
541	7541	6372
542	7554	6358
543	7568	6344
544	7582	6330
545	7597	6317
546	7611	6303
547	7625	6289
548	7638	6275
549	7651	6260
550	7665	6246
551	7680	6233
552	7694	6219
553	7709	6206
554	7723	6192
555	7737	6178
556	7750	6164
557	7764	6150
558	7778	6136
559	7793	6123
560	7807	6109
561	7821	6095
562	7835	6081
563	7848	6067
564	7862	6053
565	7876	6039
566	7891	6026
567	7906	6013
568	7919	5998
569	7932	5983
570	7946	5970
571	7961	5957
572	7974	5942
573	7987	5928
574	7999	5912
575	8012	5898
576	8026	5884
577	8040	5870
578	8054	5856
579	8068	5842
580	8081	5827
581	8094	5813
582	8109	5800
583	8124	5787
584	8139	5774
585	8153	5760
586	8165	5745
587	8179	5731
588	8194	5718
589	8208	5703
590	8223	5690
591	8236	5676
592	8250	5662
593	8263	5648
594	8277	5634
595	8293	5621
596	8308	5608
597	8323	5595
598	8337	5581
599	8351	5567
600	8364	5553
601	8377	5538
602	8392	5525
603	8408	5512
604	8423	5499
605	8438	5486
606	8453	5473
607	8467	5459
608	8480	5444
609	8493	5430
610	8506	5416
611	8522	5402
612	8536	5388
613	8549	5374
614	8562	5360
615	8575	5345
616	8587	5330
617	8601	5316
618	8615	5303
619	8630	5289
620	8642	5274
621	8655	5260
622	8669	5246
623	8684	5232
624	8698	5218
625	8713	5205
626	8726	5191
627	8739	5177
628	8758	5165
629	8772	5152
630	8786	5138
631	8803	5125
632	8818	5112
633	8833	5099
634	8847	5085
635	8863	5072
636	8878	5059
637	8892	5045
638	8904	5030
639	8919	5017
640	8933	5003
641	8948	4990
642	8963	4976
643	8976	4962
644	8989	4947
645	9002	4933
646	9016	4919
647	9029	4905
648	9044	4891
649	9059	4878
650	9073	4864
651	9086	4849
652	9099	4835
653	9113	4821
654	9126	4807
655	9140	4792
656	9153	4779
657	9167	4764
658	9182	4751
659	9194	4736
660	9206	4721
661	9220	4707
662	9233	4693
663	9248	4679
664	9263	4666
665	9277	4652
666	9290	4638
667	9306	4625
668	9320	4611
669	9332	4596
670	9346	4582
671	9360	4568
672	9373	4554
673	9386	4540
674	9399	4525
675	9413	4511
676	9427	4497
677	9441	4484
678	9455	4470
679	9468	4455
680	9481	4441
681	9495	4427
682	9509	4413
683	9522	4399
684	9536	4385
685	9549	4370
686	9562	4356
687	9576	4342
688	9589	4328
689	9602	4314
690	9616	4300
691	9630	4286
692	9644	4272
693	9658	4258
694	9674	4245
695	9690	4232
696	9707	4220
697	9722	4206
698	9739	4193
699	9755	4180
700	9771	4167
701	9789	4155
702	9805	4142
703	9819	4128
704	9833	4114
705	9847	4100
706	9860	4086
707	9874	4072
708	9889	4058
709	9903	4044
710	9916	4030
711	9930	4016
712	9942	4002
713	9956	3988
714	9972	3974
715	9985	3960
716	9998	3946
717	10010	3931
718	10024	3917
719	10038	3903
720	10052	3889
721	10065	3875
722	10078	3861
723	10094	3848
724	10107	3833
725	10121	3820
726	10135	3806
727	10149	3792
728	10164	3778
729	10177	3764
730	10190	3750
731	10203	3735
732	10218	3722
733	10232	3708
734	10245	3694
735	10259	3680
736	10273	3665
737	10286	3651
738	10301	3638
739	10314	3624
740	10329	3610
741	10343	3596
742	10359	3583
743	10373	3569
744	10387	3555
745	10403	3542
746	10416	3527
747	10429	3513
748	10443	3499
749	10457	3485
750	10470	3471
751	10484	3457
752	10498	3443
753	10511	3429
754	10524	3415
755	10536	3400
756	10551	3387
757	10565	3373
758	10580	3359
759	10595	3346
760	10608	3331
761	10620	3317
762	10632	3302
763	10648	3289
764	10664	3275
765	10678	3262
766	10693	3248
767	10705	3234
768	10718	3219
769	10736	3206
770	10752	3193
771	10767	3179
772	10784	3166
773	10801	3153
774	10816	3140
775	10834	3127
776	10850	3114
777	10866	3100
778	10881	3087
779	10899	3074
780	10913	3060
781	10926	3046
782	10939	3031
783	10952	3017
784	10965	3003
785	10978	2989
786	10992	2975
787	11005	2960
788	11021	2947
789	11037	2934
790	11052	2920
791	11065	2906
792	11081	2892
793	11095	2878
794	11108	2864
795	11132	2853
796	11154	2841
797	11172	2828
798	11191	2815
799	11209	2802
800	11224	2788
801	11247	2776
802	11266	2763
803	11285	2751
804	11303	2738
805	11320	2724
806	11339	2711
807	11356	2698
808	11383	2687
809	11401	2674
810	11421	2661
811	11438	2648
812	11454	2634
813	11471	2621
814	11488	2607
815	11521	2598
816	11537	2584
817	11555	2571
818	11570	2557
819	11585	2543
820	11600	2529
821	11613	2514
822	11627	2500
823	11641	2486
824	11655	2472
825	11672	2458
826	11685	2444
827	11700	2430
828	11713	2416
829	11727	2402
830	11743	2388
831	11758	2374
832	11773	2360
833	11788	2346
834	11802	2332
835	11823	2319
836	11836	2305
837	11853	2291
838	11871	2278
839	11884	2263
840	11903	2250
841	11918	2236
842	11932	2222
843	11946	2208
844	11959	2193
845	11974	2179
846	11990	2165
847	12004	2151
848	12017	2137
849	12036	2124
850	12055	2110
851	12069	2096
852	12084	2082
853	12098	2068
854	12114	2054
855	12129	2040
856	12143	2026
857	12158	2012
858	12171	1997
859	12186	1983
860	12202	1969
861	12218	1956
862	12231	1941
863	12246	1927
864	12261	1913
865	12276	1899
866	12291	1885
867	12305	1871
868	12320	1857
869	12335	1843
870	12351	1829
871	12368	1815
872	12381	1801
873	12396	1787
874	12411	1773
875	12426	1759
876	12441	1744
877	12455	1730
878	12470	1716
879	12485	1702
880	12499	1688
881	12512	1674
882	12526	1659
883	12539	1645
884	12553	1631
885	12567	1617
886	12580	1602
887	12593	1588
888	12609	1574
889	12622	1560
890	12636	1545
891	12649	1531
892	12664	1517
893	12677	1503
894	12691	1488
895	12705	1474
896	12719	1460
897	12735	1446
898	12748	1432
899	12761	1417
900	12775	1403
901	12790	1389
902	12803	1375
903	12817	1361
904	12832	1347
905	12845	1332
906	12858	1318
907	12872	1304
908	12886	1290
909	12900	1275
910	12913	1261
911	12926	1247
912	12939	1233
913	12954	1218
914	12969	1204
915	12982	1190
916	12996	1176
917	13009	1162
918	13022	1147
919	13037	1133
920	13052	1119
921	13067	1105
922	13081	1091
923	13094	1077
924	13106	1062
925	13120	1048
926	13134	1034
927	13147	1020
928	13160	1005
929	13173	991
930	13186	977
931	13199	963
932	13212	948
933	13226	934
934	13238	920
935	13252	906
936	13266	891
937	13280	877
938	13293	863
939	13307	849
940	13320	835
941	13334	821
942	13350	806
943	13363	792
944	13377	778
945	13388	764
946	13400	749
947	13414	735
948	13429	721
949	13442	707
950	13457	693
951	13470	679
952	13484	665
953	13499	650
954	13513	636
955	13527	622
956	13541	608
957	13554	594
958	13566	580
959	13579	565
960	13594	551
961	13608	537
962	13621	523
963	13636	509
964	13649	495
965	13663	480
966	13678	466
967	13694	452
968	13709	438
969	13723	424
970	13737	410
971	13752	396
972	13765	381
973	13779	367
974	13793	353
975	13806	339
976	13821	325
977	13834	311
978	13850	297
979	13862	282
980	13878	268
981	13892	254
982	13906	240
983	13919	226
984	13934	212
985	13948	198
986	13961	183
987	13974	169
988	13989	155
989	14002	141
990	14016	127
991	14028	113
992	14041	98
993	14056	84
994	14070	70
995	14084	56
996	14096	42
997	14109	28
998	14125	14
999	14139	0
