iter	RMSE
237	69086.25759
238	69066.49482
239	69039.71214
240	69033.70007
241	69016.6918
242	69005.37059
243	68986.16896
244	68969.86986
245	68955.98105
246	68945.83102
247	68926.48401
248	68911.68119
249	68903.0376
250	68889.20744
251	68863.56352
252	68849.80736
253	68835.56095
254	68813.10448
255	68777.81471
256	68757.91897
257	68737.38166
258	68716.16397
259	68701.10892
260	68681.5614
261	68666.2032
262	68644.4699
263	68613.75571
264	68592.23949
265	68584.05675
266	68578.32706
267	68571.70987
268	68547.73166
269	68536.42014
270	68521.3139
271	68502.80695
272	68497.30565
273	68452.11122
274	68444.26059
275	68413.6841
276	68402.72343
277	68395.26624
278	68379.60261
279	68374.31118
280	68360.79154
281	68337.24548
282	68328.00936
283	68308.06127
284	68294.28914
285	68273.31881
286	68259.71124
287	68226.40472
288	68216.03441
289	68202.12778
290	68187.83423
291	68157.85638
292	68150.50937
293	68123.49719
294	68109.2079
295	68103.99373
296	68060.17363
297	68044.37207
298	68035.64425
299	68008.56823
300	67993.72246
301	67964.37187
302	67929.76873
303	67917.18217
304	67912.1929
305	67897.85973
306	67888.09541
307	67867.96406
308	67849.62225
309	67842.00594
310	67834.60326
311	67827.38315
312	67820.78151
313	67799.15445
314	67782.8571
315	67769.93814
316	67751.03159
317	67733.22248
318	67698.5416
319	67684.28819
320	67670.85507
321	67647.13645
322	67614.60405
323	67602.11678
324	67583.13293
325	67565.27654
326	67545.45706
327	67526.17498
328	67517.8438
329	67483.60539
330	67471.76664
331	67457.64431
332	67448.48408
333	67423.59296
334	67409.2575
335	67399.65252
336	67388.34903
337	67369.36559
338	67365.11204
339	67350.60748
340	67344.17719
341	67311.41203
342	67298.11727
343	67282.7519
344	67271.71425
345	67260.98363
346	67236.58572
347	67216.69773
348	67198.59986
349	67158.76487
350	67150.87784
351	67140.03475
352	67127.31733
353	67108.74634
354	67091.05645
355	67062.4217
356	67045.52129
357	67034.37054
358	67024.49733
359	67015.90085
360	66997.60749
361	66979.95264
362	66961.81063
363	66945.71788
364	66941.63121
365	66929.32723
366	66919.80852
367	66908.865
368	66896.26934
369	66883.36584
370	66847.37732
371	66839.80835
372	66822.91153
373	66805.99639
374	66786.95649
375	66783.19868
376	66759.76333
377	66737.12345
378	66725.33663
379	66719.52259
380	66703.39048
381	66690.9443
382	66669.30925
383	66654.00724
384	66638.1072
385	66629.23705
386	66607.79063
387	66597.13081
388	66581.85794
389	66565.98721
390	66560.68059
391	66547.99919
392	66542.07815
393	66522.54619
394	66497.70242
395	66492.21387
396	66465.1428
397	66446.48132
398	66424.05484
399	66411.70537
400	66393.61189
401	66370.39752
402	66353.18767
403	66330.42805
404	66317.258
405	66306.99276
406	66288.87116
407	66273.39989
408	66266.23457
409	66254.92892
410	66243.99239
411	66233.08139
412	66205.72491
413	66187.85223
414	66176.159
415	66160.99459
416	66145.50021
417	66134.27467
418	66122.41748
419	66111.67939
420	66096.70492
421	66086.57942
422	66075.60797
423	66038.99727
424	66016.29842
425	66002.1372
426	65978.44751
427	65955.61148
428	65930.23719
429	65903.48307
430	65891.00294
431	65867.70455
432	65857.77387
433	65847.02411
434	65837.52119
435	65826.84172
436	65797.09396
437	65780.34376
438	65774.64523
439	65758.23739
440	65734.8821
441	65727.57497
442	65706.64067
443	65699.92255
444	65689.71186
445	65685.07003
446	65656.86115
447	65636.00513
448	65625.78248
449	65611.30759
450	65587.80662
451	65565.90925
452	65555.79851
453	65546.77985
454	65542.08045
455	65531.84264
456	65525.2617
457	65506.29823
458	65477.32849
459	65457.05749
460	65445.29178
461	65425.567
462	65390.60992
463	65384.97119
464	65374.15115
465	65364.85648
466	65348.71237
467	65339.71505
468	65316.43535
469	65302.76512
470	65296.60823
471	65287.31398
472	65277.90434
473	65258.63463
474	65248.99952
475	65234.45953
476	65228.40701
477	65219.48269
478	65197.81368
479	65191.12334
480	65181.14887
481	65167.6801
482	65157.33739
483	65148.24318
484	65141.1087
485	65134.48306
486	65100.21265
487	65090.906
488	65071.59178
489	65053.56751
490	65041.59092
491	65021.33022
492	65015.90781
493	64989.17729
494	64970.69405
495	64962.20037
496	64944.6093
497	64924.00258
498	64903.71459
499	64880.07819
500	64875.1146
501	64871.1412
502	64865.98362
503	64857.67743
504	64847.91035
505	64830.14827
506	64817.37092
507	64806.18685
508	64791.3769
509	64781.09754
510	64765.42223
511	64759.09376
512	64735.70315
513	64703.55479
514	64689.78058
515	64673.48503
516	64656.63654
517	64647.4311
518	64632.66761
519	64602.70845
520	64593.0739
521	64582.55454
522	64570.3606
523	64558.615
524	64552.57377
525	64544.11164
526	64511.56533
527	64504.28662
528	64495.42996
529	64472.86246
530	64453.19839
531	64438.99167
532	64435.35245
533	64430.63776
534	64418.17094
535	64401.82322
536	64392.98192
537	64374.20713
538	64351.366
539	64341.59966
540	64317.55798
541	64291.82077
542	64280.2804
543	64262.49716
544	64231.74461
545	64222.48425
546	64213.03833
547	64177.49974
548	64168.46332
549	64159.17334
550	64153.77559
551	64129.17326
552	64105.34901
553	64080.38964
554	64055.46625
555	64032.41935
556	64023.66802
557	64014.51439
558	63994.66469
559	63969.54245
560	63961.45906
561	63953.26592
562	63931.24839
563	63917.68441
564	63911.46035
565	63899.39669
566	63877.4381
567	63854.71976
568	63851.2026
569	63842.6102
570	63826.01883
571	63821.4974
572	63814.94245
573	63805.78195
574	63801.86593
575	63778.19835
576	63770.50059
577	63753.26492
578	63734.79442
579	63717.81158
580	63710.10653
581	63704.45333
582	63694.64865
583	63672.02141
584	63656.60975
585	63647.1213
586	63628.33178
587	63609.70514
588	63576.01017
589	63556.96518
590	63535.27004
591	63524.6846
592	63517.14226
593	63507.35571
594	63501.27145
595	63481.71
596	63474.51076
597	63468.71077
598	63456.04681
599	63445.20648
600	63417.37003
601	63390.79152
602	63379.99046
603	63357.66913
604	63339.88205
605	63330.99199
606	63314.42601
607	63270.1046
608	63258.81091
609	63228.0923
610	63220.35387
611	63209.72254
612	63201.76527
613	63180.14308
614	63170.26779
615	63165.53944
616	63161.57906
617	63156.19141
618	63141.44969
619	63128.52677
620	63120.62054
621	63112.32597
622	63091.4504
623	63079.45573
624	63063.07137
625	63055.78711
626	63032.2336
627	63014.6551
628	62989.52966
629	62976.41775
630	62954.25662
631	62931.57244
632	62916.91732
633	62907.45414
634	62898.59912
635	62883.96147
636	62874.94493
637	62861.90746
638	62846.82053
639	62842.33836
640	62819.806
641	62814.51915
642	62783.87076
643	62754.90189
644	62749.88984
645	62724.94108
646	62707.35657
647	62695.19
648	62687.08311
649	62667.25819
650	62650.45742
651	62631.42436
652	62628.02265
653	62624.90127
654	62618.29012
655	62589.3411
656	62586.12946
657	62563.93419
658	62536.22289
659	62525.87232
660	62518.36784
661	62497.20916
662	62470.75558
663	62445.98573
664	62440.30953
665	62425.86273
666	62402.07701
667	62375.69619
668	62367.38621
669	62356.52063
670	62345.71139
671	62333.80891
672	62331.04547
673	62310.09148
674	62298.83001
675	62289.9123
676	62282.74746
677	62274.1787
678	62267.69936
679	62254.37009
680	62244.44395
681	62229.23409
682	62213.24213
683	62201.53808
684	62184.02664
685	62161.48983
686	62146.3161
687	62137.36277
688	62134.48885
689	62127.4868
690	62109.51199
691	62084.10576
692	62074.67671
693	62070.04722
694	62052.46071
695	62029.07752
696	62008.18999
697	61998.81171
698	61986.6838
699	61972.62591
700	61965.95859
701	61952.63546
702	61942.11275
703	61931.30403
704	61923.56351
705	61914.91831
706	61901.58095
707	61898.82855
708	61871.48826
709	61864.94957
710	61850.57594
711	61827.08386
712	61822.60148
713	61805.47196
714	61781.12173
715	61777.62069
716	61755.66482
717	61747.38222
718	61726.72257
719	61694.06039
720	61685.80512
721	61676.07668
722	61663.07675
723	61631.84212
724	61609.76088
725	61601.60822
726	61597.24398
727	61590.24214
728	61582.98794
729	61559.13708
730	61548.22166
731	61545.19014
732	61535.9117
733	61523.97626
734	61515.77495
735	61507.5066
736	61501.29173
737	61490.32772
738	61476.79987
739	61453.83058
740	61436.20795
741	61431.68945
742	61421.04553
743	61390.23078
744	61369.30454
745	61339.88727
746	61319.86538
747	61316.51017
748	61294.71634
749	61266.61756
750	61258.03241
751	61253.06396
752	61233.82731
753	61228.71615
754	61218.19032
755	61210.09101
756	61202.87493
757	61192.46512
758	61176.44999
759	61164.00051
760	61150.04996
761	61141.97545
762	61134.32724
763	61112.29838
764	61103.76229
765	61079.91788
766	61077.81575
767	61075.14879
768	61068.05346
769	61058.0406
770	61045.20266
771	61036.24756
772	61017.68365
773	61007.82775
774	60994.80598
775	60968.68391
776	60947.79762
777	60936.51774
778	60924.84891
779	60916.95024
780	60890.17828
781	60885.13143
782	60882.28002
783	60872.77656
784	60868.72312
785	60857.37962
786	60847.67746
787	60835.45938
788	60828.19934
789	60809.44439
790	60792.71367
791	60787.80158
792	60767.85445
793	60762.48797
794	60756.13977
795	60754.40318
796	60730.15159
797	60723.19984
798	60704.46019
799	60682.50207
800	60669.74768
801	60667.6483
802	60652.54508
803	60645.49558
804	60635.04328
805	60633.26763
806	60626.98787
807	60618.70637
808	60595.42099
809	60593.72687
810	60575.16851
811	60571.4495
812	60552.20386
813	60540.892
814	60531.614
815	60522.03906
816	60504.26986
817	60494.31378
818	60485.13518
819	60477.75861
820	60471.91061
821	60469.95482
822	60452.85952
823	60444.92732
824	60436.14749
825	60428.42608
826	60417.0408
827	60405.62494
828	60397.86236
829	60378.6697
830	60361.75902
831	60345.95628
832	60339.38673
833	60316.95954
834	60312.90206
835	60307.77652
836	60305.92774
837	60290.40626
838	60288.64964
839	60281.50298
840	60278.84484
841	60266.44607
842	60259.44258
843	60246.90957
844	60243.53932
845	60239.10871
846	60217.3574
847	60206.00256
848	60187.50608
849	60179.96094
850	60162.42351
851	60153.92195
852	60146.50276
853	60140.68159
854	60120.47907
855	60114.88762
856	60107.25699
857	60101.42913
858	60095.93783
859	60080.39798
860	60065.28373
861	60053.2238
862	60051.14863
863	60041.24942
864	60036.67633
865	60022.24327
866	60015.95252
867	60012.09019
868	60005.62984
869	59999.58434
870	59981.31233
871	59965.57189
872	59961.22569
873	59952.05526
874	59938.1019
875	59919.96992
876	59914.52834
877	59907.97715
878	59884.39013
879	59881.02772
880	59866.8274
881	59849.492
882	59839.79327
883	59829.3037
884	59797.74163
885	59784.1607
886	59776.15559
887	59769.0871
888	59762.83426
889	59760.96589
890	59742.15042
891	59738.17555
892	59726.81137
893	59724.40425
894	59718.90892
895	59704.6519
896	59687.27265
897	59677.20918
898	59666.8305
899	59661.12474
900	59653.8421
901	59635.8392
902	59633.06761
903	59626.99776
904	59610.74528
905	59591.07727
906	59584.39301
907	59573.20658
908	59556.58622
909	59545.92254
910	59532.92479
911	59523.61849
912	59518.72074
913	59509.29098
914	59488.03923
915	59475.61034
916	59471.07477
917	59461.78655
918	59458.59638
919	59441.25842
920	59430.61954
921	59423.70391
922	59401.38032
923	59399.16742
924	59394.047
925	59377.48146
926	59369.45598
927	59364.30139
928	59358.43997
929	59353.17483
930	59338.62104
931	59322.7859
932	59316.75988
933	59307.68366
934	59297.59671
935	59291.43853
936	59280.13861
937	59263.16962
938	59251.24566
939	59234.37897
940	59223.24966
941	59217.28906
942	59207.25516
943	59203.64204
944	59184.07418
945	59174.43037
946	59170.76752
947	59161.41102
948	59144.4662
949	59138.9359
950	59130.61576
951	59118.71181
952	59113.9184
953	59099.66149
954	59090.8352
955	59079.78775
956	59073.82586
957	59066.74824
958	59062.89693
959	59045.94818
960	59037.53414
961	59030.14131
962	59021.17385
963	59018.8012
964	59011.79746
965	59008.58452
966	58989.635
967	58981.828
968	58972.24727
969	58964.269
970	58955.83303
971	58940.7077
972	58934.02513
973	58926.7395
974	58921.55919
975	58918.34168
976	58903.68171
977	58899.29556
978	58877.27809
979	58873.73083
980	58867.76525
981	58858.00583
982	58842.44608
983	58838.68958
984	58825.1702
985	58807.05706
986	58789.36265
987	58783.71171
988	58767.97171
989	58760.18039
990	58743.78537
991	58724.83877
992	58717.36009
993	58710.42957
994	58696.94135
995	58687.40917
996	58685.29591
997	58673.12744
998	58657.21833
999	58651.37775
